train_method,model,metrics,tag,step,value,run
MLC,klue_bert-base_15,Loss_test_loss,Loss,0,3.2559990882873535,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,1,3.1336007118225098,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,2,2.7329201698303223,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,3,2.2541275024414062,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,4,2.1586410999298096,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,5,1.9507697820663452,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,6,1.7989552021026611,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,7,1.6609259843826294,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,8,1.7056001424789429,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,9,1.6353148221969604,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,10,1.580637812614441,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,11,1.6988353729248047,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,12,1.5442306995391846,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_test_loss,Loss,13,1.6137582063674927,MLC/klue_bert-base_15/Loss_test_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,0,4.369513511657715,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,1,3.2943177223205566,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,2,3.040029525756836,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,3,2.511549472808838,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,4,2.0667836666107178,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,5,1.7232170104980469,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,6,1.4320532083511353,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,7,1.2226768732070923,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,8,1.0288158655166626,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,9,0.8915969729423523,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,10,0.7772504091262817,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,11,0.6823198199272156,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,12,0.6019579768180847,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,Loss_train_loss,Loss,13,0.5330403447151184,MLC/klue_bert-base_15/Loss_train_loss
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,0,0.0,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,1,0.0,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,2,0.0,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,3,0.375,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,4,0.5142857432365417,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,5,0.6341463327407837,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,6,0.7272727489471436,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,7,0.7659574747085571,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,8,0.7659574747085571,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,9,0.782608687877655,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,10,0.7307692170143127,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,11,0.7659574747085571,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,12,0.800000011920929,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_가성비,test/F1_score,13,0.7916666865348816,MLC/klue_bert-base_15/test_F1_score_가성비
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,0,0.0,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,1,0.0,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,2,0.4000000059604645,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,3,0.9333333373069763,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,4,0.8571428656578064,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,5,1.0,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,6,0.7692307829856873,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,7,0.7692307829856873,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,8,0.6666666865348816,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,9,0.6666666865348816,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,10,0.7692307829856873,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,11,0.7692307829856873,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,12,0.7692307829856873,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_귀여운,test/F1_score,13,0.7692307829856873,MLC/klue_bert-base_15/test_F1_score_귀여운
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,0,0.0,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,1,0.0,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,2,0.20000000298023224,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,3,0.7142857313156128,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,4,0.8387096524238586,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,5,0.8571428656578064,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,6,0.8888888955116272,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,7,0.9142857193946838,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,8,0.9142857193946838,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,9,0.9142857193946838,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,10,0.9142857193946838,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,11,0.8484848737716675,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,12,0.9142857193946838,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_넓은,test/F1_score,13,0.9142857193946838,MLC/klue_bert-base_15/test_F1_score_넓은
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,0,0.0,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,1,0.0,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,2,0.0,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,3,0.2857142984867096,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,4,0.25,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,5,0.25,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,6,0.25,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,7,0.3333333432674408,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,8,0.2857142984867096,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,9,0.3333333432674408,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,10,0.3333333432674408,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,11,0.2222222238779068,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,12,0.2857142984867096,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_단체,test/F1_score,13,0.2857142984867096,MLC/klue_bert-base_15/test_F1_score_단체
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,0,0.0,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,1,0.0,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,2,0.0,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,3,0.0,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,4,0.0,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,5,0.0,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,6,0.1428571492433548,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,7,0.2068965584039688,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,8,0.4736842215061188,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,9,0.25806450843811035,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,10,0.3030303120613098,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,11,0.44999998807907104,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,12,0.4878048896789551,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_만족,test/F1_score,13,0.44999998807907104,MLC/klue_bert-base_15/test_F1_score_만족
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,0,0.0,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,1,0.0,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,2,0.0,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,3,0.0,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,4,0.0,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,5,0.3333333432674408,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,6,0.48275861144065857,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,7,0.2857142984867096,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,8,0.48275861144065857,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,9,0.37037035822868347,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,10,0.5,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,11,0.4000000059604645,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,12,0.4000000059604645,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_모던,test/F1_score,13,0.5,MLC/klue_bert-base_15/test_F1_score_모던
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,0,0.0,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,1,0.0,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,2,0.0,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,3,0.20000000298023224,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,4,0.15789473056793213,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,5,0.5148515105247498,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,6,0.6111111044883728,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,7,0.6071428656578064,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,8,0.7633587718009949,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,9,0.7200000286102295,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,10,0.6724137663841248,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,11,0.8029196858406067,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,12,0.7179487347602844,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_분위기,test/F1_score,13,0.7068965435028076,MLC/klue_bert-base_15/test_F1_score_분위기
MLC,klue_bert-base_15,test_F1_score_비주얼,test/F1_score,0,0.0,MLC/klue_bert-base_15/test_F1_score_비주얼
MLC,klue_bert-base_15,test_F1_score_비주얼,test/F1_score,1,0.0,MLC/klue_bert-base_15/test_F1_score_비주얼
MLC,klue_bert-base_15,test_F1_score_비주얼,test/F1_score,2,0.0,MLC/klue_bert-base_15/test_F1_score_비주얼
MLC,klue_bert-base_15,test_F1_score_비주얼,test/F1_score,3,0.0,MLC/klue_bert-base_15/test_F1_score_비주얼
MLC,klue_bert-base_15,test_F1_score_비주얼,test/F1_score,4,0.0,MLC/klue_bert-base_15/test_F1_score_비주얼
MLC,klue_bert-base_15,test_F1_score_비주얼,test/F1_score,5,0.2857142984867096,MLC/klue_bert-base_15/test_F1_score_비주얼
MLC,klue_bert-base_15,test_F1_score_비주얼,test/F1_score,6,0.0,MLC/klue_bert-base_15/test_F1_score_비주얼
